Bor_Code,WardName,WardCode,assault_09_11
00AK,Southgate,00AKHC,124
00AK,Southgate Green,00AKHD,120
00AK,Town,00AKHE,143
00AK,Turkey Street,00AKHF,212
00AK,Upper Edmonton,00AKHG,321
00AK,Winchmore Hill,00AKHH,86
00AL,Abbey Wood,00ALGP,243
00AL,Blackheath Westcombe,00ALGQ,130
00AL,Charlton,00ALGR,181
00AL,Coldharbour and New Eltham,00ALGS,116
00AL,Eltham North,00ALGT,102
00AL,Eltham South,00ALGU,185
00AL,Eltham West,00ALGW,132
00AL,Glyndon,00ALGX,319
00AL,Greenwich West,00ALGY,355
00AL,Kidbrooke with Hornfair,00ALGZ,155
00AL,Middle Park and Sutcliffe,00ALHA,172
00AL,Peninsula,00ALHB,315
00AL,Plumstead,00ALHC,300
00AL,Shooters Hill,00ALHD,144
00AL,Thamesmead Moorings,00ALHE,272
00AL,Woolwich Common,00ALHF,429
00AL,Woolwich Riverside,00ALHG,484
00AM,Brownswood,00AMGA,176
00AM,Cazenove,00AMGB,110
00AM,Chatham,00AMGC,284
00AM,Clissold,00AMGD,157
00AM,Dalston,00AMGE,273
00AM,De Beauvoir,00AMGF,214
00AM,Hackney Central,00AMGG,233
00AM,Hackney Downs,00AMGH,183
00AM,Haggerston,00AMGJ,407
00AM,Hoxton,00AMGK,264
00AM,King's Park,00AMGL,138
00AM,Leabridge,00AMGM,206
00AM,Lordship,00AMGN,98
00AM,New River,00AMGP,206
00AM,Queensbridge,00AMGQ,196
00AM,Springfield,00AMGR,135
00AM,Stoke Newington Central,00AMGS,288
00AM,Victoria,00AMGT,220
00AM,Wick,00AMGU,185
00AN,Addison,00ANGA,158
00AN,Askew,00ANGB,193
00AN,Avonmore and Brook Green,00ANGC,125
00AN,College Park and Old Oak,00ANGD,178
00AN,Fulham Broadway,00ANGE,194
00AN,Fulham Reach,00ANGF,101
00AN,Hammersmith Broadway,00ANGG,352
00AN,Munster,00ANGH,74
00AN,North End,00ANGJ,145
00AN,Palace Riverside,00ANGK,51
00AN,Parsons Green and Walham,00ANGL,154
00AN,Ravenscourt Park,00ANGM,191
00AN,Sands End,00ANGN,119
00AN,Shepherd's Bush Green,00ANGP,464
00AN,Town,00ANGQ,142
00AN,Wormholt and White City,00ANGR,195
00AP,Alexandra,00APGA,75
00AP,Bounds Green,00APGB,235
00AP,Bruce Grove,00APGC,272
00AP,Crouch End,00APGD,121
00AP,Fortis Green,00APGE,96
00AP,Harringay,00APGF,278
00AP,Highgate,00APGG,47
00AP,Hornsey,00APGH,195
00AP,Muswell Hill,00APGJ,108
00AP,Noel Park,00APGK,369
00AP,Northumberland Park,00APGL,409
00AP,St Ann's,00APGM,318
00AP,Seven Sisters,00APGN,222
00AP,Stroud Green,00APGP,102
00AP,Tottenham Green,00APGQ,467
00AP,Tottenham Hale,00APGR,342
00AP,West Green,00APGS,265
00AP,White Hart Lane,00APGT,231
00AP,Woodside,00APGU,334
00AQ,Belmont,00AQFY,64
00AQ,Canons,00AQFZ,77
00AQ,Edgware,00AQGA,114
00AQ,Greenhill,00AQGB,257
00AQ,Harrow on the Hill,00AQGC,139
00AQ,Harrow Weald,00AQGD,113
00AQ,Hatch End,00AQGE,41
00AQ,Headstone North,00AQGF,49
00AQ,Headstone South,00AQGG,76
00AQ,Kenton East,00AQGH,57
00AQ,Kenton West,00AQGJ,56
00AQ,Marlborough,00AQGK,152
00AQ,Pinner,00AQGL,50
00AQ,Pinner South,00AQGM,36
00AQ,Queensbury,00AQGN,82
00AQ,Rayners Lane,00AQGP,42
00AQ,Roxbourne,00AQGQ,115
00AQ,Roxeth,00AQGR,77
00AQ,Stanmore Park,00AQGS,85
00AQ,Wealdstone,00AQGT,132
00AQ,West Harrow,00AQGU,69
00AR,Brooklands,00ARGC,162
00AR,Cranham,00ARGD,34
00AR,Elm Park,00ARGE,89
00AR,Emerson Park,00ARGF,30
00AR,Gooshays,00ARGG,194
00AR,Hacton,00ARGH,42
00AR,Harold Wood,00ARGJ,103
00AR,Havering Park,00ARGK,85
00AR,Heaton,00ARGL,142
00AR,Hylands,00ARGM,61
00AR,Mawneys,00ARGN,72
00AR,Pettits,00ARGP,46
00AR,Rainham and Wennington,00ARGQ,105
00AR,Romford Town,00ARGR,579
00AR,St Andrew's,00ARGS,100
00AR,South Hornchurch,00ARGT,87
00AR,Squirrel's Heath,00ARGU,71
00AR,Upminster,00ARGW,47
00AS,Barnhill,00ASGG,216
00AS,Botwell,00ASGH,257
00AS,Brunel,00ASGJ,170
00AS,Cavendish,00ASGK,107
00AS,Charville,00ASGL,127
00AS,Eastcote and East Ruislip,00ASGM,69
00AS,Harefield,00ASGN,71
00AS,Heathrow Villages,00ASGP,315
00AS,Hillingdon East,00ASGQ,117
00AS,Ickenham,00ASGR,44
00AS,Manor,00ASGS,66
00AS,Northwood,00ASGT,57
00AS,Northwood Hills,00ASGU,75
00AS,Pinkwell,00ASGW,171
00AS,South Ruislip,00ASGX,105
00AS,Townfield,00ASGY,300
00AS,Uxbridge North,00ASGZ,224
00AS,Uxbridge South,00ASHA,232
00AS,West Drayton,00ASHB,164
00AS,West Ruislip,00ASHC,81
00AS,Yeading,00ASHD,217
00AS,Yiewsley,00ASHE,155
00AT,Bedfont,00ATFY,119
00AT,Brentford,00ATFZ,165
00AT,Chiswick Homefields,00ATGA,87
00AT,Chiswick Riverside,00ATGB,75
00AT,Cranford,00ATGC,148
00AT,Feltham North,00ATGD,152
00AT,Feltham West,00ATGE,169
00AT,Hanworth,00ATGF,139
00AT,Hanworth Park,00ATGG,184
00AT,Heston Central,00ATGH,197
00AT,Heston East,00ATGJ,124
00AT,Heston West,00ATGK,162
00AT,Hounslow Central,00ATGL,437
00AT,Hounslow Heath,00ATGM,281
00AT,Hounslow South,00ATGN,79
00AT,Hounslow West,00ATGP,192
00AT,Isleworth,00ATGQ,122
00AT,Osterley and Spring Grove,00ATGR,91
00AT,Syon,00ATGS,153
00AT,Turnham Green,00ATGT,99
00AU,Barnsbury,00AUFX,258
00AU,Bunhill,00AUFY,325
00AU,Caledonian,00AUFZ,283
00AU,Canonbury,00AUGA,150
00AU,Clerkenwell,00AUGB,240
00AU,Finsbury Park,00AUGC,437
00AU,Highbury East,00AUGD,122
00AU,Highbury West,00AUGE,196
00AU,Hillrise,00AUGF,129
00AU,Holloway,00AUGG,251
00AU,Junction,00AUGH,195
00AU,Mildmay,00AUGJ,184
00AU,St George's,00AUGK,201
00AU,St Mary's,00AUGL,295
00AU,St Peter's,00AUGM,192
00AU,Tollington,00AUGN,229
00AW,Abingdon,00AWFY,55
00AW,Brompton,00AWFZ,97
00AW,Campden,00AWGA,65
00AW,Colville,00AWGB,158
00AW,Courtfield,00AWGC,56
00AW,Cremorne,00AWGD,77
00AW,Earl's Court,00AWGE,111
00AW,Golborne,00AWGF,198
00AW,Hans Town,00AWGG,64
00AW,Holland,00AWGH,69
00AW,Norland,00AWGJ,93
00AW,Notting Barns,00AWGK,131
00AW,Pembridge,00AWGL,109
00AW,Queen's Gate,00AWGM,77
00AW,Redcliffe,00AWGN,76
00AW,Royal Hospital,00AWGP,58
00AW,St Charles,00AWGQ,156
00AW,Stanley,00AWGR,84
00AX,Alexandra,00AXFX,42
00AX,Berrylands,00AXFY,93
00AX,Beverley,00AXFZ,113
00AX,Canbury,00AXGA,83
00AX,Chessington North and Hook,00AXGB,60
00AX,Chessington South,00AXGC,62
00AX,Coombe Hill,00AXGD,51
00AX,Coombe Vale,00AXGE,29
00AX,Grove,00AXGF,502
00AX,Norbiton,00AXGG,142
00AX,Old Malden,00AXGH,80
00AX,St James,00AXGJ,49
00AX,St Mark's,00AXGK,97
00AX,Surbiton Hill,00AXGL,57
00AX,Tolworth and Hook Rise,00AXGM,73
00AX,Tudor,00AXGN,51
00AY,Bishop's,00AYFZ,405
00AY,Brixton Hill,00AYGA,278
00AY,Clapham Common,00AYGB,148
00AY,Clapham Town,00AYGC,458
00AY,Coldharbour,00AYGD,602
00AY,Ferndale,00AYGE,305
00AY,Gipsy Hill,00AYGF,245
00AY,Herne Hill,00AYGG,271
00AY,Knight's Hill,00AYGH,245
00AY,Larkhall,00AYGJ,296
00AY,Oval,00AYGK,376
00AY,Prince's,00AYGL,306
00AY,St Leonard's,00AYGM,347
00AY,Stockwell,00AYGN,251
00AY,Streatham Hill,00AYGP,210
00AY,Streatham South,00AYGQ,202
00AY,Streatham Wells,00AYGR,199
00AY,Thornton,00AYGS,141
00AY,Thurlow Park,00AYGT,184
00AY,Tulse Hill,00AYGU,358
00AY,Vassall,00AYGW,302
00AZ,Bellingham,00AZGD,279
00AZ,Blackheath,00AZGE,274
00AZ,Brockley,00AZGF,313
00AZ,Catford South,00AZGG,156
00AZ,Crofton Park,00AZGH,170
00AZ,Downham,00AZGJ,252
00AZ,Evelyn,00AZGK,297
00AZ,Forest Hill,00AZGL,222
00AZ,Grove Park,00AZGM,165
00AZ,Ladywell,00AZGN,181
00AZ,Lee Green,00AZGP,153
00AZ,Lewisham Central,00AZGQ,482
00AZ,New Cross,00AZGR,442
00AZ,Perry Vale,00AZGS,203
00AZ,Rushey Green,00AZGT,429
00AZ,Sydenham,00AZGU,209
00AZ,Telegraph Hill,00AZGW,252
00AZ,Whitefoot,00AZGX,230
00BA,Abbey,00BAFX,150
00BA,Cannon Hill,00BAFY,28
00BA,Colliers Wood,00BAFZ,117
00BA,Cricket Green,00BAGA,248
00BA,Dundonald,00BAGB,78
00BA,Figge's Marsh,00BAGC,201
00BA,Graveney,00BAGD,126
00BA,Hillside,00BAGE,41
00BA,Lavender Fields,00BAGF,108
00BA,Longthornton,00BAGG,87
00BA,Lower Morden,00BAGH,49
00BA,Merton Park,00BAGJ,89
00BA,Pollards Hill,00BAGK,163
00BA,Ravensbury,00BAGL,182
00BA,Raynes Park,00BAGM,59
00BA,St Helier,00BAGN,114
00BA,Trinity,00BAGP,204
00BA,Village,00BAGQ,53
00BA,West Barnes,00BAGR,50
00BA,Wimbledon Park,00BAGS,49
00BB,Beckton,00BBGB,285
00BB,Boleyn,00BBGC,251
00BB,Canning Town North,00BBGD,324
00BB,Canning Town South,00BBGE,294
00BB,Custom House,00BBGF,212
00BB,East Ham Central,00BBGG,378
00BB,East Ham North,00BBGH,227
00BB,East Ham South,00BBGJ,235
00BB,Forest Gate North,00BBGK,293
00BB,Forest Gate South,00BBGL,495
00BB,Green Street East,00BBGM,213
00BB,Green Street West,00BBGN,304
00BB,Little Ilford,00BBGP,291
00BB,Manor Park,00BBGQ,259
00BB,Plaistow North,00BBGR,266
00BB,Plaistow South,00BBGS,278
00BB,Royal Docks,00BBGT,146
00BB,Stratford and New Town,00BBGU,573
00BB,Wall End,00BBGW,225
00BB,West Ham,00BBGX,326
00BC,Aldborough,00BCFY,118
00BC,Barkingside,00BCFZ,102
00BC,Bridge,00BCGA,86
00BC,Chadwell,00BCGB,146
00BC,Church End,00BCGC,77
00BC,Clayhall,00BCGD,49
00BC,Clementswood,00BCGE,383
00BC,Cranbrook,00BCGF,169
00BC,Fairlop,00BCGG,97
00BC,Fullwell,00BCGH,98
00BC,Goodmayes,00BCGJ,161
00BC,Hainault,00BCGK,158
00BC,Loxford,00BCGL,292
00BC,Mayfield,00BCGM,88
00BC,Monkhams,00BCGN,57
00BC,Newbury,00BCGP,110
00BC,Roding,00BCGQ,109
00BC,Seven Kings,00BCGR,208
00BC,Snaresbrook,00BCGS,64
00BC,Valentines,00BCGT,267
00BC,Wanstead,00BCGU,81
00BD,Barnes,00BDFW,36
00BD,East Sheen,00BDFX,43
00BD,Fulwell and Hampton Hill,00BDFY,51
00BD,"Ham, Petersham and Richmond Riverside",00BDFZ,76
00BD,Hampton,00BDGA,48
00BD,Hampton North,00BDGB,65
00BD,Hampton Wick,00BDGC,63
00BD,Heathfield,00BDGD,89
00BD,Kew,00BDGE,74
00BD,Mortlake and Barnes Common,00BDGF,82
00BD,North Richmond,00BDGG,78
00BD,St Margarets and North Twickenham,00BDGH,54
00BD,South Richmond,00BDGJ,142
00BD,South Twickenham,00BDGK,40
00BD,Teddington,00BDGL,64
00BD,Twickenham Riverside,00BDGM,99
00BD,West Twickenham,00BDGN,65
00BD,Whitton,00BDGP,70
00BE,Brunswick Park,00BEGC,210
00BE,Camberwell Green,00BEGD,326
00BE,Cathedrals,00BEGE,457
00BE,Chaucer,00BEGF,306
00BE,College,00BEGG,111
00BE,East Dulwich,00BEGH,114
00BE,East Walworth,00BEGJ,303
00BE,Faraday,00BEGK,265
00BE,Grange,00BEGL,359
00BE,Livesey,00BEGM,365
00BE,Newington,00BEGN,339
00BE,Nunhead,00BEGP,254
00BE,Peckham,00BEGQ,350
00BE,Peckham Rye,00BEGR,135
00BE,Riverside,00BEGS,244
00BE,Rotherhithe,00BEGT,209
00BE,South Bermondsey,00BEGU,259
00BE,South Camberwell,00BEGW,113
00BE,Surrey Docks,00BEGX,107
00BE,The Lane,00BEGY,363
00BE,Village,00BEGZ,68
00BF,Beddington North,00BFGC,85
00BF,Beddington South,00BFGD,112
00BF,Belmont,00BFGE,56
00BF,Carshalton Central,00BFGF,80
00BF,Carshalton South and Clockhouse,00BFGG,46
00BF,Cheam,00BFGH,38
00BF,Nonsuch,00BFGJ,64
00BF,St Helier,00BFGK,158
00BF,Stonecot,00BFGL,56
00BF,Sutton Central,00BFGM,329
00BF,Sutton North,00BFGN,89
00BF,Sutton South,00BFGP,76
00BF,Sutton West,00BFGQ,55
00BF,The Wrythe,00BFGR,67
00BF,Wallington North,00BFGS,86
00BF,Wallington South,00BFGT,88
00BF,Wandle Valley,00BFGU,138
00BF,Worcester Park,00BFGW,71
00BG,Bethnal Green North,00BGFW,226
00BG,Bethnal Green South,00BGFX,420
00BG,Blackwall and Cubitt Town,00BGFY,200
00BG,Bow East,00BGFZ,170
00BG,Bow West,00BGGA,247
00BG,Bromley-by-Bow,00BGGB,220
00BG,East India and Lansbury,00BGGC,314
00BG,Limehouse,00BGGD,249
00BG,Mile End and Globe Town,00BGGE,270
00BG,Mile End East,00BGGF,268
00BG,Millwall,00BGGG,233
00BG,St Dunstan's and Stepney Green,00BGGH,234
00BG,St Katharine's and Wapping,00BGGJ,127
00BG,Shadwell,00BGGK,222
00BG,Spitalfields and Banglatown,00BGGL,296
00BG,Weavers,00BGGM,274
00BG,Whitechapel,00BGGN,274
00BH,Cann Hall,00BHFX,232
00BH,Cathall,00BHFY,190
00BH,Chapel End,00BHFZ,157
00BH,Chingford Green,00BHGA,100
00BH,Endlebury,00BHGB,70
00BH,Forest,00BHGC,190
00BH,Grove Green,00BHGD,194
00BH,Hale End and Highams Park,00BHGE,76
00BH,Hatch Lane,00BHGF,115
00BH,High Street,00BHGG,365
00BH,Higham Hill,00BHGH,149
00BH,Hoe Street,00BHGJ,232
00BH,Larkswood,00BHGK,131
00BH,Lea Bridge,00BHGL,247
00BH,Leyton,00BHGM,226
00BH,Leytonstone,00BHGN,208
00BH,Markhouse,00BHGP,171
00BH,Valley,00BHGQ,108
00BH,William Morris,00BHGR,183
00BH,Wood Street,00BHGS,190
00BJ,Balham,00BJFZ,127
00BJ,Bedford,00BJGA,118
00BJ,Earlsfield,00BJGB,163
00BJ,East Putney,00BJGC,94
00BJ,Fairfield,00BJGD,215
00BJ,Furzedown,00BJGE,152
00BJ,Graveney,00BJGF,253
00BJ,Latchmere,00BJGG,287
00BJ,Nightingale,00BJGH,127
00BJ,Northcote,00BJGJ,175
00BJ,Queenstown,00BJGK,245
00BJ,Roehampton,00BJGL,261
00BJ,St Mary's Park,00BJGM,198
00BJ,Shaftesbury,00BJGN,157
00BJ,Southfields,00BJGP,134
00BJ,Thamesfield,00BJGQ,153
00BJ,Tooting,00BJGR,232
00BJ,Wandsworth Common,00BJGS,132
00BJ,West Hill,00BJGT,120
00BJ,West Putney,00BJGU,145
00BK,Abbey Road,00BKGA,74
00BK,Bayswater,00BKGB,102
00BK,Bryanston and Dorset Square,00BKGC,230
00BK,Churchill,00BKGD,143
00BK,Church Street,00BKGE,195
00BK,Harrow Road,00BKGF,161
00BK,Hyde Park,00BKGG,182
00BK,Knightsbridge and Belgravia,00BKGH,119
00BK,Lancaster Gate,00BKGJ,181
00BK,Little Venice,00BKGK,135
00BK,Maida Vale,00BKGL,88
00BK,Marylebone High Street,00BKGM,137
00BK,Queen's Park,00BKGN,193
00BK,Regent's Park,00BKGP,110
00BK,St James's,00BKGQ,1582
00BK,Tachbrook,00BKGR,64
00BK,Vincent Square,00BKGS,151
00BK,Warwick,00BKGT,221
00BK,Westbourne,00BKGU,234
00BK,West End,00BKGW,1305
