,X,Month,CrimeType ,CrimeDetails,CrimeCount,Borough
125,125,201104,Other Notifiable Offences,Other Notifiable,31,Hackney
126,126,201104,Criminal Damage,Other Criminal Damage,60,Hackney
127,127,201104,Criminal Damage,Criminal Damage To Other Building,20,Hackney
128,128,201104,Robbery,Personal Property,95,Hackney
129,129,201104,Theft & Handling,Theft Person,196,Hackney
130,130,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,124,Hackney
131,131,201104,Burglary,Burglary In A Dwelling,150,Hackney
132,132,201104,Fraud & Forgery,Other Fraud & Forgery,23,Hackney
133,133,201104,Violence Against The Person,Wounding/GBH,19,Hackney
134,134,201104,Robbery,Business Property,12,Hackney
135,135,201104,Criminal Damage,Criminal Damage To Motor Vehicle,78,Hackney
136,136,201104,Violence Against The Person,Offensive Weapon,20,Hackney
137,137,201104,Criminal Damage,Criminal Damage To Dwelling,53,Hackney
138,138,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,96,Hackney
139,139,201104,Burglary,Burglary In Other Buildings,96,Hackney
140,140,201104,Theft & Handling,Motor Vehicle Interference & Tampering,15,Hackney
141,141,201104,Violence Against The Person,Harassment,109,Hackney
142,142,201104,Violence Against The Person,Assault With Injury,165,Hackney
143,143,201104,Sexual Offences,Rape,11,Hackney
144,144,201104,Drugs,Possession Of Drugs,121,Hackney
145,145,201104,Theft & Handling,Theft From Shops,70,Hackney
146,146,201104,Other Notifiable Offences,Going Equipped,3,Hackney
147,147,201104,Violence Against The Person,Common Assault,143,Hackney
148,148,201104,Sexual Offences,Other Sexual,35,Hackney
149,149,201104,Drugs,Other Drugs,1,Hackney
150,150,201104,Drugs,Drug Trafficking,10,Hackney
151,151,201104,Theft & Handling,Theft From Motor Vehicle,168,Hackney
152,152,201104,Fraud & Forgery,Counted Per Victim,23,Hackney
153,153,201104,Theft & Handling,Other Theft,379,Hackney
154,154,201104,Theft & Handling,Theft From Shops,66,Tower Hamlets
155,155,201104,Theft & Handling,Other Theft,346,Tower Hamlets
156,156,201104,Violence Against The Person,Harassment,128,Tower Hamlets
157,157,201104,Fraud & Forgery,Counted Per Victim,53,Tower Hamlets
158,158,201104,Sexual Offences,Rape,9,Tower Hamlets
159,159,201104,Drugs,Possession Of Drugs,132,Tower Hamlets
160,160,201104,Violence Against The Person,Murder,2,Tower Hamlets
161,161,201104,Theft & Handling,Theft From Motor Vehicle,160,Tower Hamlets
162,162,201104,Violence Against The Person,Common Assault,129,Tower Hamlets
163,163,201104,Theft & Handling,Motor Vehicle Interference & Tampering,8,Tower Hamlets
164,164,201104,Other Notifiable Offences,Going Equipped,3,Tower Hamlets
165,165,201104,Drugs,Drug Trafficking,50,Tower Hamlets
166,166,201104,Theft & Handling,Handling Stolen Goods,4,Tower Hamlets
167,167,201104,Burglary,Burglary In Other Buildings,102,Tower Hamlets
168,168,201104,Criminal Damage,Criminal Damage To Motor Vehicle,73,Tower Hamlets
169,169,201104,Violence Against The Person,Offensive Weapon,14,Tower Hamlets
170,170,201104,Criminal Damage,Criminal Damage To Other Building,23,Tower Hamlets
171,171,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,77,Tower Hamlets
172,172,201104,Fraud & Forgery,Other Fraud & Forgery,24,Tower Hamlets
173,173,201104,Robbery,Personal Property,105,Tower Hamlets
174,174,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,114,Tower Hamlets
175,175,201104,Sexual Offences,Other Sexual,19,Tower Hamlets
176,176,201104,Robbery,Business Property,6,Tower Hamlets
177,177,201104,Violence Against The Person,Wounding/GBH,46,Tower Hamlets
178,178,201104,Criminal Damage,Other Criminal Damage,42,Tower Hamlets
179,179,201104,Other Notifiable Offences,Other Notifiable,30,Tower Hamlets
180,180,201104,Theft & Handling,Theft Person,113,Tower Hamlets
181,181,201104,Violence Against The Person,Other Violence,10,Tower Hamlets
182,182,201104,Criminal Damage,Criminal Damage To Dwelling,60,Tower Hamlets
183,183,201104,Burglary,Burglary In A Dwelling,122,Tower Hamlets
184,184,201104,Violence Against The Person,Assault With Injury,115,Tower Hamlets
185,185,201104,Robbery,Personal Property,140,Waltham Forest
186,186,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,22,Waltham Forest
187,187,201104,Criminal Damage,Criminal Damage To Other Building,16,Waltham Forest
188,188,201104,Theft & Handling,Theft Person,70,Waltham Forest
189,189,201104,Criminal Damage,Criminal Damage To Motor Vehicle,92,Waltham Forest
190,190,201104,Criminal Damage,Criminal Damage To Dwelling,51,Waltham Forest
191,191,201104,Burglary,Burglary In A Dwelling,185,Waltham Forest
192,192,201104,Violence Against The Person,Offensive Weapon,10,Waltham Forest
193,193,201104,Sexual Offences,Other Sexual,17,Waltham Forest
194,194,201104,Other Notifiable Offences,Other Notifiable,21,Waltham Forest
195,195,201104,Violence Against The Person,Other Violence,22,Waltham Forest
196,196,201104,Violence Against The Person,Wounding/GBH,34,Waltham Forest
197,197,201104,Fraud & Forgery,Other Fraud & Forgery,56,Waltham Forest
198,198,201104,Theft & Handling,Motor Vehicle Interference & Tampering,18,Waltham Forest
199,199,201104,Violence Against The Person,Assault With Injury,152,Waltham Forest
200,200,201104,Theft & Handling,Theft From Motor Vehicle,232,Waltham Forest
201,201,201104,Sexual Offences,Rape,9,Waltham Forest
202,202,201104,Violence Against The Person,Murder,1,Waltham Forest
203,203,201104,Criminal Damage,Other Criminal Damage,43,Waltham Forest
204,204,201104,Drugs,Drug Trafficking,4,Waltham Forest
205,205,201104,Robbery,Business Property,9,Waltham Forest
206,206,201104,Violence Against The Person,Common Assault,119,Waltham Forest
207,207,201104,Theft & Handling,Handling Stolen Goods,1,Waltham Forest
208,208,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,137,Waltham Forest
209,209,201104,Burglary,Burglary In Other Buildings,88,Waltham Forest
210,210,201104,Other Notifiable Offences,Going Equipped,1,Waltham Forest
211,211,201104,Violence Against The Person,Harassment,112,Waltham Forest
212,212,201104,Drugs,Possession Of Drugs,84,Waltham Forest
213,213,201104,Theft & Handling,Theft From Shops,95,Waltham Forest
214,214,201104,Fraud & Forgery,Counted Per Victim,57,Waltham Forest
215,215,201104,Theft & Handling,Other Theft,285,Waltham Forest
216,216,201104,Violence Against The Person,Other Violence,9,Redbridge
217,217,201104,Drugs,Possession Of Drugs,181,Redbridge
218,218,201104,Violence Against The Person,Common Assault,82,Redbridge
219,219,201104,Fraud & Forgery,Counted Per Victim,97,Redbridge
220,220,201104,Criminal Damage,Criminal Damage To Dwelling,34,Redbridge
221,221,201104,Sexual Offences,Rape,7,Redbridge
222,222,201104,Theft & Handling,Theft From Motor Vehicle,200,Redbridge
223,223,201104,Theft & Handling,Handling Stolen Goods,3,Redbridge
224,224,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,36,Redbridge
225,225,201104,Robbery,Personal Property,84,Redbridge
226,226,201104,Theft & Handling,Theft Person,45,Redbridge
227,227,201104,Violence Against The Person,Assault With Injury,131,Redbridge
228,228,201104,Theft & Handling,Theft From Shops,86,Redbridge
229,229,201104,Burglary,Burglary In Other Buildings,53,Redbridge
230,230,201104,Other Notifiable Offences,Other Notifiable,15,Redbridge
231,231,201104,Criminal Damage,Criminal Damage To Motor Vehicle,115,Redbridge
232,232,201104,Theft & Handling,Motor Vehicle Interference & Tampering,11,Redbridge
233,233,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,143,Redbridge
234,234,201104,Criminal Damage,Criminal Damage To Other Building,13,Redbridge
235,235,201104,Burglary,Burglary In A Dwelling,225,Redbridge
236,236,201104,Violence Against The Person,Offensive Weapon,9,Redbridge
237,237,201104,Robbery,Business Property,7,Redbridge
238,238,201104,Sexual Offences,Other Sexual,10,Redbridge
239,239,201104,Theft & Handling,Other Theft,205,Redbridge
240,240,201104,Violence Against The Person,Wounding/GBH,17,Redbridge
241,241,201104,Violence Against The Person,Harassment,96,Redbridge
242,242,201104,Drugs,Drug Trafficking,7,Redbridge
243,243,201104,Criminal Damage,Other Criminal Damage,35,Redbridge
244,244,201104,Fraud & Forgery,Other Fraud & Forgery,15,Redbridge
245,245,201104,Violence Against The Person,Other Violence,17,Havering
246,246,201104,Theft & Handling,Other Theft,180,Havering
247,247,201104,Fraud & Forgery,Counted Per Victim,62,Havering
248,248,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,15,Havering
249,249,201104,Sexual Offences,Rape,4,Havering
250,250,201104,Criminal Damage,Criminal Damage To Dwelling,31,Havering
251,251,201104,Violence Against The Person,Harassment,73,Havering
252,252,201104,Theft & Handling,Handling Stolen Goods,6,Havering
253,253,201104,Violence Against The Person,Assault With Injury,113,Havering
254,254,201104,Other Notifiable Offences,Going Equipped,1,Havering
255,255,201104,Sexual Offences,Other Sexual,7,Havering
256,256,201104,Theft & Handling,Theft From Shops,85,Havering
257,257,201104,Drugs,Drug Trafficking,4,Havering
258,258,201104,Theft & Handling,Theft From Motor Vehicle,116,Havering
259,259,201104,Theft & Handling,Motor Vehicle Interference & Tampering,12,Havering
260,260,201104,Robbery,Personal Property,27,Havering
261,261,201104,Burglary,Burglary In Other Buildings,60,Havering
262,262,201104,Drugs,Possession Of Drugs,63,Havering
263,263,201104,Violence Against The Person,Wounding/GBH,18,Havering
264,264,201104,Robbery,Business Property,7,Havering
265,265,201104,Criminal Damage,Criminal Damage To Motor Vehicle,91,Havering
266,266,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,74,Havering
267,267,201104,Criminal Damage,Criminal Damage To Other Building,18,Havering
268,268,201104,Fraud & Forgery,Other Fraud & Forgery,7,Havering
269,269,201104,Violence Against The Person,Offensive Weapon,7,Havering
270,270,201104,Other Notifiable Offences,Other Notifiable,19,Havering
271,271,201104,Theft & Handling,Theft Person,20,Havering
272,272,201104,Burglary,Burglary In A Dwelling,132,Havering
273,273,201104,Violence Against The Person,Common Assault,62,Havering
274,274,201104,Criminal Damage,Other Criminal Damage,47,Havering
275,275,201104,Theft & Handling,Theft From Motor Vehicle,316,Newham
276,276,201104,Fraud & Forgery,Other Fraud & Forgery,50,Newham
277,277,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,160,Newham
278,278,201104,Other Notifiable Offences,Other Notifiable,39,Newham
279,279,201104,Sexual Offences,Other Sexual,26,Newham
280,280,201104,Criminal Damage,Criminal Damage To Other Building,22,Newham
281,281,201104,Drugs,Other Drugs,1,Newham
282,282,201104,Criminal Damage,Criminal Damage To Dwelling,63,Newham
283,283,201104,Theft & Handling,Handling Stolen Goods,2,Newham
284,284,201104,Criminal Damage,Other Criminal Damage,52,Newham
285,285,201104,Sexual Offences,Rape,15,Newham
286,286,201104,Violence Against The Person,Common Assault,186,Newham
287,287,201104,Burglary,Burglary In A Dwelling,182,Newham
288,288,201104,Violence Against The Person,Assault With Injury,215,Newham
289,289,201104,Violence Against The Person,Other Violence,16,Newham
290,290,201104,Burglary,Burglary In Other Buildings,80,Newham
291,291,201104,Drugs,Possession Of Drugs,205,Newham
292,292,201104,Robbery,Business Property,6,Newham
293,293,201104,Robbery,Personal Property,207,Newham
294,294,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,42,Newham
295,295,201104,Fraud & Forgery,Counted Per Victim,100,Newham
296,296,201104,Violence Against The Person,Harassment,93,Newham
297,297,201104,Theft & Handling,Motor Vehicle Interference & Tampering,26,Newham
298,298,201104,Violence Against The Person,Offensive Weapon,24,Newham
299,299,201104,Violence Against The Person,Wounding/GBH,40,Newham
300,300,201104,Other Notifiable Offences,Going Equipped,3,Newham
301,301,201104,Theft & Handling,Theft Person,110,Newham
302,302,201104,Criminal Damage,Criminal Damage To Motor Vehicle,97,Newham
303,303,201104,Theft & Handling,Theft From Shops,94,Newham
304,304,201104,Theft & Handling,Other Theft,234,Newham
305,305,201104,Drugs,Drug Trafficking,9,Newham
306,306,201104,Drugs,Other Drugs,1,Barking and Dagenham
307,307,201104,Theft & Handling,Theft From Motor Vehicle,119,Barking and Dagenham
308,308,201104,Fraud & Forgery,Counted Per Victim,90,Barking and Dagenham
309,309,201104,Sexual Offences,Rape,1,Barking and Dagenham
310,310,201104,Robbery,Personal Property,99,Barking and Dagenham
311,311,201104,Sexual Offences,Other Sexual,13,Barking and Dagenham
312,312,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,30,Barking and Dagenham
313,313,201104,Other Notifiable Offences,Other Notifiable,36,Barking and Dagenham
314,314,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,134,Barking and Dagenham
315,315,201104,Theft & Handling,Theft From Shops,67,Barking and Dagenham
316,316,201104,Criminal Damage,Other Criminal Damage,42,Barking and Dagenham
317,317,201104,Fraud & Forgery,Other Fraud & Forgery,21,Barking and Dagenham
318,318,201104,Violence Against The Person,Wounding/GBH,17,Barking and Dagenham
319,319,201104,Violence Against The Person,Harassment,60,Barking and Dagenham
320,320,201104,Criminal Damage,Criminal Damage To Other Building,15,Barking and Dagenham
321,321,201104,Robbery,Business Property,13,Barking and Dagenham
322,322,201104,Drugs,Possession Of Drugs,73,Barking and Dagenham
323,323,201104,Burglary,Burglary In A Dwelling,145,Barking and Dagenham
324,324,201104,Theft & Handling,Other Theft,147,Barking and Dagenham
325,325,201104,Violence Against The Person,Common Assault,99,Barking and Dagenham
326,326,201104,Violence Against The Person,Offensive Weapon,8,Barking and Dagenham
327,327,201104,Drugs,Drug Trafficking,8,Barking and Dagenham
328,328,201104,Burglary,Burglary In Other Buildings,61,Barking and Dagenham
329,329,201104,Violence Against The Person,Other Violence,11,Barking and Dagenham
330,330,201104,Theft & Handling,Handling Stolen Goods,3,Barking and Dagenham
331,331,201104,Theft & Handling,Theft Person,21,Barking and Dagenham
332,332,201104,Theft & Handling,Motor Vehicle Interference & Tampering,10,Barking and Dagenham
333,333,201104,Other Notifiable Offences,Going Equipped,2,Barking and Dagenham
334,334,201104,Violence Against The Person,Assault With Injury,139,Barking and Dagenham
335,335,201104,Criminal Damage,Criminal Damage To Motor Vehicle,108,Barking and Dagenham
336,336,201104,Criminal Damage,Criminal Damage To Dwelling,42,Barking and Dagenham
337,337,201104,Criminal Damage,Criminal Damage To Motor Vehicle,93,Lambeth
338,338,201104,Violence Against The Person,Other Violence,30,Lambeth
339,339,201104,Burglary,Burglary In Other Buildings,100,Lambeth
340,340,201104,Criminal Damage,Criminal Damage To Other Building,25,Lambeth
341,341,201104,Theft & Handling,Motor Vehicle Interference & Tampering,3,Lambeth
342,342,201104,Criminal Damage,Criminal Damage To Dwelling,91,Lambeth
343,343,201104,Violence Against The Person,Common Assault,147,Lambeth
344,344,201104,Theft & Handling,Handling Stolen Goods,4,Lambeth
345,345,201104,Drugs,Drug Trafficking,69,Lambeth
346,346,201104,Fraud & Forgery,Other Fraud & Forgery,39,Lambeth
347,347,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,78,Lambeth
348,348,201104,Theft & Handling,Theft From Shops,66,Lambeth
349,349,201104,Other Notifiable Offences,Other Notifiable,35,Lambeth
350,350,201104,Violence Against The Person,Assault With Injury,216,Lambeth
351,351,201104,Criminal Damage,Other Criminal Damage,69,Lambeth
352,352,201104,Theft & Handling,Theft Person,313,Lambeth
353,353,201104,Violence Against The Person,Wounding/GBH,52,Lambeth
354,354,201104,Robbery,Business Property,21,Lambeth
355,355,201104,Other Notifiable Offences,Going Equipped,3,Lambeth
356,356,201104,Sexual Offences,Other Sexual,23,Lambeth
357,357,201104,Robbery,Personal Property,263,Lambeth
358,358,201104,Theft & Handling,Other Theft,500,Lambeth
359,359,201104,Burglary,Burglary In A Dwelling,224,Lambeth
360,360,201104,Violence Against The Person,Murder,2,Lambeth
361,361,201104,Drugs,Possession Of Drugs,208,Lambeth
362,362,201104,Fraud & Forgery,Counted Per Victim,51,Lambeth
363,363,201104,Violence Against The Person,Harassment,137,Lambeth
364,364,201104,Theft & Handling,Theft From Motor Vehicle,199,Lambeth
365,365,201104,Sexual Offences,Rape,12,Lambeth
366,366,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,181,Lambeth
367,367,201104,Violence Against The Person,Offensive Weapon,16,Lambeth
368,368,201104,Robbery,Personal Property,194,Southwark
369,369,201104,Theft & Handling,Other Theft,400,Southwark
370,370,201104,Theft & Handling,Theft From Shops,101,Southwark
371,371,201104,Violence Against The Person,Harassment,115,Southwark
372,372,201104,Fraud & Forgery,Counted Per Victim,60,Southwark
373,373,201104,Theft & Handling,Handling Stolen Goods,2,Southwark
374,374,201104,Sexual Offences,Rape,8,Southwark
375,375,201104,Theft & Handling,Theft From Motor Vehicle,197,Southwark
376,376,201104,Drugs,Drug Trafficking,112,Southwark
377,377,201104,Criminal Damage,Criminal Damage To Dwelling,81,Southwark
378,378,201104,Theft & Handling,Motor Vehicle Interference & Tampering,12,Southwark
379,379,201104,Violence Against The Person,Offensive Weapon,10,Southwark
380,380,201104,Drugs,Other Drugs,1,Southwark
381,381,201104,Criminal Damage,Criminal Damage To Motor Vehicle,88,Southwark
382,382,201104,Burglary,Burglary In Other Buildings,83,Southwark
383,383,201104,Theft & Handling,Theft/Taking Of Pedal Cycle,132,Southwark
384,384,201104,Violence Against The Person,Common Assault,151,Southwark
385,385,201104,Violence Against The Person,Other Violence,29,Southwark
386,386,201104,Criminal Damage,Criminal Damage To Other Building,32,Southwark
387,387,201104,Violence Against The Person,Assault With Injury,218,Southwark
388,388,201104,Burglary,Burglary In A Dwelling,148,Southwark
389,389,201104,Robbery,Business Property,4,Southwark
390,390,201104,Theft & Handling,Theft Person,184,Southwark
391,391,201104,Other Notifiable Offences,Other Notifiable,39,Southwark
392,392,201104,Sexual Offences,Other Sexual,12,Southwark
393,393,201104,Drugs,Possession Of Drugs,260,Southwark
394,394,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,96,Southwark
395,395,201104,Criminal Damage,Other Criminal Damage,66,Southwark
396,396,201104,Fraud & Forgery,Other Fraud & Forgery,38,Southwark
397,397,201104,Violence Against The Person,Wounding/GBH,32,Southwark
398,398,201104,Theft & Handling,Theft/Taking Of Motor Vehicle,69,Islington
399,399,201104,Violence Against The Person,Other Violence,14,Islington
400,400,201104,Drugs,Drug Trafficking,15,Islington
401,401,201104,Theft & Handling,Theft Person,137,Islington
402,402,201104,Other Notifiable Offences,Other Notifiable,25,Islington
403,403,201104,Criminal Damage,Other Criminal Damage,47,Islington
404,404,201104,Other Notifiable Offences,Going Equipped,7,Islington
405,405,201104,Criminal Damage,Criminal Damage To Dwelling,51,Islington
406,406,201104,Fraud & Forgery,Other Fraud & Forgery,15,Islington
407,407,201104,Violence Against The Person,Harassment,178,Islington
408,408,201104,Violence Against The Person,Common Assault,119,Islington
409,409,201104,Drugs,Possession Of Drugs,105,Islington
410,410,201104,Criminal Damage,Criminal Damage To Other Building,22,Islington
411,411,201104,Sexual Offences,Other Sexual,17,Islington
412,412,201104,Theft & Handling,Other Theft,378,Islington
413,413,201104,Burglary,Burglary In A Dwelling,103,Islington
414,414,201104,Violence Against The Person,Wounding/GBH,30,Islington
415,415,201104,Robbery,Business Property,5,Islington
416,416,201104,Criminal Damage,Criminal Damage To Motor Vehicle,61,Islington
417,417,201104,Theft & Handling,Motor Vehicle Interference & Tampering,20,Islington
